,CD,BA
TMEM269,143,135
SVBP,113002,128876
ERMAP,8389,9620
AL512353.1,7020,7354
ZNF691,13114,15124
SLC2A1,163094,178344
SLC2A1-AS1,4552,4491
AC099795.1,5,5
FAM183A,41,42
EBNA1BP2,525362,639680
CFAP57,1687,1623
TMEM125,8,7
C1orf210,18,15
TIE1,1861,1827
MPL,4,4
AL139289.3,44,46
AL139289.2,2167,2450
CDC20,224027,266210
ELOVL1,126546,148667
MED8,199501,229218
AL139289.1,88,84
SZT2,41551,48362
SZT2-AS1,43,64
HYI,16669,17480
HYI-AS1,147,142
PTPRF,1264,1271
KDM4A,41664,48424
KDM4A-AS1,32054,36028
ST3GAL3,24772,28051
AL451062.1,35,25
ARTN,135,130
AL357079.1,4685,4907
IPO13,16158,18407
AL357079.2,343,350
DPH2,57152,71192
ATP6V0B,839106,977026
B4GALT2,42998,51181
CCDC24,2011,2092
SLC6A9,570,473
AL139220.2,1338,1225
KLF17,5,2
KLF18,0,0
DMAP1,78573,92239
ERI3,129157,149914
ERI3-IT1,24,43
RNF220,97835,109161
TMEM53,12125,12831
ARMH1,45860,49868
KIF2C,181204,200144
AL592166.1,490,562
RPS8,20028695,22325525
BEST4,1524,1626
PLK3,67243,82177
TCTEX1D4,1752,2103
BTBD19,3004,2924
PTCH2,9639,11356
EIF2B3,165750,194161
HECTD3,19976,21449
UROD,125055,135212
ZSWIM5,555,403
LINC01144,534,634
HPDL,36318,47348
MUTYH,36735,43988
TOE1,76628,95654
TESK2,10128,10444
CCDC163,5612,5437
MMACHC,15818,17182
PRDX1,4303755,4483604
AKR1A1,284409,324437
NASP,1367525,1562719
CCDC17,1038,1160
GPBP1L1,107675,120810
TMEM69,48633,52237
IPP,50832,56904
AL604028.1,1988,2069
MAST2,16573,19063
PIK3R3,13875,17653
AL358075.1,86,90
AL358075.2,284,383
TSPAN1,329,324
P3R3URF,1,1
POMGNT1,46413,55493
LURAP1,316,377
RAD54L,18065,20139
LRRC41,75060,85381
UQCRH,2043837,2212637
NSUN4,38551,43113
FAAH,1156,1193
LINC01398,0,3
DMBX1,13,11
TMEM275,15,18
MKNK1-AS1,380,405
KNCN,4,6
MKNK1,68405,75418
