,CD,BA
LYPLA2,5.41538258240155,5.46598797894501
GALE,4.71762476730621,4.81446917435693
HMGCL,4.34706897841523,4.28273115017469
FUCA1,2.0635584384635,2.12755856405503
CNR2,0.164530038017823,0.161553610418545
AL590609.3,0,0
PNRC2,7.04308328084657,7.0739140461711
SRSF10,7.70178809302509,7.77770299120786
AL591178.1,0,0
MYOM3,0.00762714425092236,0.00537693199483168
AL591178.2,0,0
IL22RA1,0.0020110558868329,0.00107699078236105
IFNLR1,0.866542087066674,0.867468086256659
LINC02800,0.00482183283877238,0.00537693199483168
AL138902.1,0.000402435506041437,0.000359086266834661
GRHL3,0.0267180034025934,0.0171361118225168
STPG1,2.14544057217719,2.18980747772336
NIPAL3,4.57792812410344,4.57456681836319
RCAN3AS,0.80244596507768,0.757691040067438
RCAN3,6.12281552792756,6.12766254622713
NCMAP-DT,1.28001085601562,1.21788419751026
NCMAP,0.0112259763385752,0.00895045224700307
SRRM1,8.52597220958198,8.53669766986876
AL445648.1,0.00241293088367391,0.00251172898451452
CLIC4,3.0604542076935,2.98073538404731
RUNX3,8.06506990047878,8.04898434072481
AL445471.1,0.331203022834473,0.337559842495023
AL445471.2,0.478867429736897,0.502037228098608
LINC02793,0.357829897750832,0.360958379754272
AL050344.1,0.000402435506041437,0
AL031432.1,0.0326324577651392,0.0263338823720442
SYF2,7.62493104940067,7.61860952179601
AL031432.4,1.30986504911754,1.35083031794896
AL031432.5,0.0980212433821846,0.0935092475854292
RSRP1,6.79752694410806,6.82716483159271
AL031432.3,0.426821494813968,0.413403990648615
RHD,0.181310276175398,0.165721691942514
TMEM50A,7.32626801202054,7.33905486534089
RHCE,0.188745204376456,0.182907506211103
MACO1,4.75932806375157,4.81101903872758
LDLRAP1,2.47494665544511,2.49341807702154
AL606491.1,0.137342153960706,0.162195638050072
MAN1C1,1.04333299095128,1.14180334071356
AL031280.1,0.733191738739965,0.830786664554029
SELENON,0.670594903567963,0.690963003005517
AL020996.1,0.468723707783533,0.491347124892499
MTFR1L,3.89493443191669,3.89210092239176
AL020996.3,0,0
AUNIP,2.52398557634958,2.61944747744248
AL033528.2,0.042436316869861,0.0452516028498172
PAQR7,1.47040815995976,1.45536817747332
STMN1,8.85222551682529,8.86965257651425
PAFAH2,2.48569375688089,2.46091134490597
EXTL1,0.0148158534003372,0.0160710473102527
SLC30A2,0.014018874551475,0.0118029090027179
AL391650.2,0,0
TRIM63,0.0286921835074098,0.0542724147714264
PDIK1L,3.46508834629868,3.49942654809281
FAM110D,0.066081802296297,0.0711213636482986
C1orf232,0,0
AL391650.1,0.104774374643383,0.104908223266335
ZNF593,6.74693930268871,6.83988941717631
CNKSR1,0.410259067314089,0.343232845985544
CATSPER4,0.00482183283877238,0.00966409534126578
CEP85,3.3701491406116,3.43732884588517
SH3BGRL3,10.5548173342025,10.5519246379465
UBXN11,4.02315396212663,4.1515097837733
CD52,10.046525255384,10.1797286056731
CRYBG2,0.447924724035271,0.427091179626746
ZNF683,2.5741183168531,2.7611622789231
LIN28A,0.0152141777843145,0.0203265957895992
DHDDS,4.65401402886248,4.69256444158675
AL513365.2,0.0844194020776668,0.0810012797090214
HMGN2,9.4185661157923,9.47930990066247
RPS6KA1,5.98810382869123,6.02440095010851
AL512408.1,0.246205731856387,0.22898617504757
ARID1A,6.22881688532511,6.19330232121843
PIGV,2.74042349545309,2.79953021934676
ZDHHC18,4.30354256389583,4.31376189943234
SFN,0.146098147318483,0.139226854178126
GPN2,4.43059385561818,4.45154418019327
AL034380.1,0.0020110558868329,0.00430314758922484
GPATCH3,2.61424314125841,2.62347430872177
NUDC,8.29772925446989,8.37316163013429
NR0B2,0.00241293088367391,0.00215317817667045
KDF1,0.0028146939659842,0.00394504177884949
TRNP1,0.158412202309978,0.141182086243865
TENT5B,0.00160906891309431,0.00251172898451452
SLC9A1,2.73184549600647,2.67881286638107
AL590640.1,0,0.000359086266834661
WDTC1,2.93096345810026,2.89169409996832
TMEM222,4.335731927531,4.41099607094473
SYTL1,4.13619471381189,4.22104031939416
MAP3K6,2.0927251774824,1.93672258395023
FCN3,0.000402435506041437,0.000718083179468902
CD164L2,0.00120696990003879,0.000359086266834661
GPR3,0.281735201649519,0.284294141105509
WASF2,7.14468498590497,7.16181112680685
FO393419.2,0.0100273628504638,0.00609234451784569
BX293535.1,0.193328651111902,0.186383360891248
AHDC1,2.93796584652774,2.90037832215362
FGR,0.124107709461979,0.147680454649751
LINC02574,0.342039836679577,0.35535478534751
IFI6,4.48524043003014,4.83068878713933
AL445490.1,0.0132214551892937,0.0146497370868072
AL020997.5,0.323182522244273,0.29691934984842
FAM76A,3.62874947989828,3.65471519546569
STX12,4.45142162992036,4.43966115191231
AL020997.2,0.237697063121948,0.223152361843404
AL020997.3,0.193680621529718,0.177519204713501
AL020997.4,0.0683867895545757,0.0618615993255736
PPP1R8,4.78279532772223,4.81956536800516
THEMIS2,3.15683943515124,3.13513323077034
RPA2,6.45440239376741,6.48274497221407
SMPDL3B,0.127059206746721,0.126123813526046
AL512288.1,0.00802745809609658,0.00609234451784569
XKR8,2.31267014105111,2.30946755005132
EYA3,3.68878492742372,3.69894151245862
PTAFR,0.114101589941305,0.134327149380178
DNAJC8,8.037463765351,8.06668397464598
ATP5IF1,8.26318726202189,8.152301776753
AL353622.1,1.59900530406584,1.59897605118878
AL353622.2,0.0199855119236184,0.0164261561859623
SESN2,2.43538693867144,2.35313878801501
MED18,3.90028161285719,3.95604490622759
PHACTR4,5.38559543313636,5.40198548872617
RCC1,4.73062973444165,4.85186102131674
SNHG3,6.426312276786,6.3936368445972
TRNAU1AP,5.60309215176629,5.6300717270705
SNHG12,4.80433208291845,4.84733950454497
TAF12,5.40513232835068,5.50503201191904
RAB42,0.1100050424445,0.102903172705587
LINC01715,0.537721725934946,0.5286699561133
AL360012.1,2.66988482134956,2.65836573654157
